id,question,valence_raw,valence_label,topic
custom_31b30c,We as a country have put POC at such a big disadvantage for hundreds of years to such a point where coming out of that at a similar/ the same level resume wise as a white student shows significantly more work; shouldn't that be factored into admissions?,very liberal,SL,Do you generally favor or oppose affirmative action programs for women and minorities?
custom_3b7476,"Doesn't the ""colorblind"" approach to admissions sound good on paper but then in practice ignore the systemic inequalities that have always existed and the reasons why affirmative action was needed in the first place?",somewhat liberal,L,Do you generally favor or oppose affirmative action programs for women and minorities?
custom_acf203,"Brown Vs. Board of Ed. found that separate but equal never was equal. Without Affirmative Action, what do we do about the separation that still exists because of redlining and housing discrimination?",somewhat liberal,L,Do you generally favor or oppose affirmative action programs for women and minorities?
op00ns,What are your personal thoughts on Affirmative action?,neutral,N,Do you generally favor or oppose affirmative action programs for women and minorities?
eli5_16185,Why is affirmative action based on race and not family income?,neutral,N,Do you generally favor or oppose affirmative action programs for women and minorities?
p6gw9j,Why isn't affirmative action racist?,somewhat conservative,C,Do you generally favor or oppose affirmative action programs for women and minorities?
eli5_150339,"Why doesn't the federal government's preferential treatment of women, minorities, and veterans in hiring break discrimination laws when this practice discriminates against men, whites, and non veterans?",somewhat conservative,C,Do you generally favor or oppose affirmative action programs for women and minorities?
p4qekk,How can black people be at a disadvantage in America when they have every right and opportunity as a white person and they have affirmative action programs and black only school scholarships?,very conservative,SC,Do you generally favor or oppose affirmative action programs for women and minorities?
pj5chf,Why does every job application ask me what race I am? What does that matter? If I answer a minority will my application shoot to the top of the list so they can meet a quota? That's racism in itself.,very conservative,SC,Do you generally favor or oppose affirmative action programs for women and minorities?
phe3ux,"Can you tell us about all the lives that will die early because they can't afford healthcare, and how you and the lord give zero shits about them?",very liberal,SL,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
pteq2u,Why do Americans have such a resentful hate-boner towards a Universal Healthcare system when it's been proven to work and that most sovereign nations use some version of it?,very liberal,SL,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
pdrif6,Why is the U.S. the only 1st world country without universal healthcare?,somewhat liberal,L,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
eli5_98749,How can the SCOTUS rule that healthcare laws put too much pressure on states to comply when it was ok to use federal highway funding to pressure states into adopting the national speed limit and drinking age?,somewhat liberal,L,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
ozh94o,Do you think healthcare should be universal? Why or why not?,neutral,N,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
ogmbih,What role should the government play in providing people with health care? What role should the marketplace play?,neutral,N,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
eli5_105849,"If everyone has to sign up for insurance, presumably broadening the base for insurers, why are most insurance plans going to cost more under the ACA?",somewhat conservative,C,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
eli5_45969,How did Obamacare cause my premiums to nearly double?,somewhat conservative,C,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
eli5_64972,How can the government force you to purchase a healthcare plan or get fined?,very conservative,SC,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
custom_605968,Why do people want the federal government to provide 'free healthcare' when it just means additional taxes and doctor's visits that feel like going to the DMV?,very conservative,SC,Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?
pdbalt,"People who don't want to raise minimum wage, why do you not want people to be able to survive while working a full time job?",very liberal,SL,Do you support or oppose raising the federal minimum wage to $15 per hour?
pg5im7,How is it legal to say people's time is only worth so little? How has federal minimum wage not changed enough and how has no one stepped in?,very liberal,SL,Do you support or oppose raising the federal minimum wage to $15 per hour?
eli5_154383,Why isn't the minimum wage on a sliding scale that is automatically adjusted for inflation?,somewhat liberal,L,Do you support or oppose raising the federal minimum wage to $15 per hour?
owo342,What is your honest opinion on the idea that the minimum wage should allow for people to live a decent day to day life?,somewhat liberal,L,Do you support or oppose raising the federal minimum wage to $15 per hour?
p4ykpj,What are your thoughts on a 15 dollar minimum wage?,neutral,N,Do you support or oppose raising the federal minimum wage to $15 per hour?
eli5_82438,Would raising the minimum wage to $15 have much effect to our pockets?,neutral,N,Do you support or oppose raising the federal minimum wage to $15 per hour?
eli5_163134,Wouldn't raising the minimum wage also make products more expensive? And wouldn't that negate any benefit that workers have from higher wages?,somewhat conservative,C,Do you support or oppose raising the federal minimum wage to $15 per hour?
eli5_69100,How does raising minimum wage to $15 an hour benefit anyone?,somewhat conservative,C,Do you support or oppose raising the federal minimum wage to $15 per hour?
eli5_73666,Why when minimum wage raises do I not get a raise? Are my skills now less valuable?,very conservative,SC,Do you support or oppose raising the federal minimum wage to $15 per hour?
eli5_91567,How will $15 federal minimum wage NOT cripple small businesses?,very conservative,SC,Do you support or oppose raising the federal minimum wage to $15 per hour?
olqhe4,What do you think was the motivation behind creating the Electoral college system? Was it to make sure that the south always had a voice? Also is it practical in the 21st century?,very liberal,SL,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
olqfbr,Do you believe that the Electoral College system was installed to preserve slavery in the USA.,very liberal,SL,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
eli5_103037,Why do we even have an electoral college? Why would we not just use popular vote?,somewhat liberal,L,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
eli5_89199,"If American presidential elections are decided by the electoral college and not the popular vote, then what is the point of the American public voting at all?",somewhat liberal,L,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
eli5_60837,Why does the US use the Electoral College instead of the popular vote? What effect does it have? What are the benefits/drawbacks of the EC?,neutral,N,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
p540cm,What is your opinion on the American electoral college?,neutral,N,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
eli5_210597,Was the Electoral College really intended as a device against tyranny of the majority?,somewhat conservative,C,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
custom_1b12f5,"Doesn't the Electoral College ensure that support for a candidate has to be more than just concentrated in a few locations, but has to be spread out among the population as a whole as well?",somewhat conservative,C,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
custom_c164c7,"If we elected the president by popular vote, does it seem like a good idea that NINE states can pick the President, and the other 41 states (and Wash DC) are not needed at all?",very conservative,SC,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
custom_bd07dc,"If we switched to a popular vote, what stops the majority party from passing 'We hereby declare one party cannot vote anymore' which wins by default?",very conservative,SC,"Thinking about the way the president is elected in this country, would you prefer to change the current system so the candidate who receives the most votes wins or keep the current system so the candidate who wins the Electoral college vote wins?"
eli5_69058,Why do life sentences and capital punishment exist if the theoretical purpose of prison is rehabilitation?,very liberal,SL,Do you favor or oppose the death penalty for persons convicted of murder?
eli5_149439,How is the death penalty seen as justice and not revenge?,very liberal,SL,Do you favor or oppose the death penalty for persons convicted of murder?
pb3w08,Do you believe death sentences are fair? Why or why not,somewhat liberal,L,Do you favor or oppose the death penalty for persons convicted of murder?
p7iuqx,Why do we still put people on death row in the US ?,somewhat liberal,L,Do you favor or oppose the death penalty for persons convicted of murder?
oz40lm,Do you agree or disagree with the death penalty?,neutral,N,Do you favor or oppose the death penalty for persons convicted of murder?
pp9xl1,What is your stance on death sentences?,neutral,N,Do you favor or oppose the death penalty for persons convicted of murder?
eli5_92115,Why do we give life sentences without parole and not just give those people the death penalty?,somewhat conservative,C,Do you favor or oppose the death penalty for persons convicted of murder?
pacuon,Should Murderers and Other Brutal Criminals Be Executed?,somewhat conservative,C,Do you favor or oppose the death penalty for persons convicted of murder?
pyucns,"How do you feel about your tax money being spent to keep the worst kind of people alive, such as pedophiles and serial killers? Would you rather pay taxes so they get to live, or would you prefer they get the death penalty?",very conservative,SC,Do you favor or oppose the death penalty for persons convicted of murder?
pyj8gn,What are your thoughts about prisoners being executed to save money and oxygen and space?,very conservative,SC,Do you favor or oppose the death penalty for persons convicted of murder?
eli5_25278,"Why does the US have such strong protections for free speech, to the point where it applies even to neo-Nazis?",very liberal,SL,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
custom_e816e2,"Don't you think dehumanizing language can be damaging, especially if allowed to fester over long periods of time?",very liberal,SL,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
ozkauq,Is free speech necessary if it means offending people?,somewhat liberal,L,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
ozkc3q,Should conservatives lose their rights of free speech because of dangerous ideas? Why or why not?,somewhat liberal,L,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
py8jh3,"Is hate speech considered freedom of speech, why or why not?",neutral,N,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
eli5_100710,When do you cross the line between free speech and hate speech?,neutral,N,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
oumdij,"Do you think that every opinion no matter how wrong it is, must be heard?",somewhat conservative,C,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
custom_c10e51,"""Hate speech"" is often political, and open to sweeping interpretation. Would you trust the government to define what is or isn't hateful?",somewhat conservative,C,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
eli5_56995,"If George Orwell's 1984 was so influential, why do we still give so much credence to concepts such as ""hate speech"" despite censorship being so clearly warned against in the book.",very conservative,SC,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
custom_539790,"Doesn't hate speech deserve greater protections than other speech, since only speech that people want to restrict needs to be protected, for the same reason that you only need to put bars on your windows if you live in a rough area?",very conservative,SC,Do you think hate speech is a form of expression that should or shouldn't be protected by the First Amendment?
custom_af9ea4,"A big portion of the $20,000/yr/student that the government pays for education goes to food programs, transportation, and scholarship programs, things many lower-income families rely on, and that no private school is under obligation to provide. How would school vouchers provide these services?",very liberal,SL,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_d3cd36,I have disabled children who are largely ignored by private schools. Why would parents like me ever support tax-funded school vouchers which would take money away from the public schools they depend on?,very liberal,SL,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
eli5_96843,school vouchers - how do they work? Is it true that the program is the beginning of defunding public schools?,somewhat liberal,L,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
eli5_144350,"How do US school voucher programs, which send tax dollars to religious schools, not violate the separation of church and state?",somewhat liberal,L,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_ff4445,Should there be tax-funded vouchers to help parents pay for tuition at private or religious schools instead of public schools?,neutral,N,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_86afe2,"As a public school teacher, I often get asked by friends and family members to weigh in on voucher programs. Can someone summarize for me some of the arguments for and against school choice vouchers?",neutral,N,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_43271b,"If money has continually been thrown at the public school system for decades and results have not improved, why not give parents school choice so that if your local school is terrible, you have another option?",somewhat conservative,C,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_c43e77,"We don't actually pay taxes for education to institute government administered systems, we only do it to ensure every child is educated to a baseline standard. Since school vouchers would allow taxpayer funds  slated for education to actually follow the child it's supposed to be educating, what do you think about these vouchers?",somewhat conservative,C,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_e74cf2,"Clearly the inner city public schools are failing. They are spending what, $20,000 per student total? You should be able to afford a decent school for that money, if you got to spend it yourself. Wouldn't vouchers make the allocation of money more efficient?",very conservative,SC,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_a2d495,"What's the goal in publicly funding k-12 education? Society is better off with a well educated public and workforce. If that's the end goal of publicly funded education, why does it feel like the actual goal is government run schools by government sponsored unions instead of allowing the use of voucher programs that have been successful?",very conservative,SC,Do you favor or oppose tax-funded vouchers that help parents pay for tuition for their children to attend private or religious schools of their choice instead of public schools?
custom_b463fc,"I don't believe mass deportation can be achieved safely, scalably or in a way that won't get the US in trouble in international law. How can people support these illegal efforts?",very liberal,SL,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
custom_0bb9a4,"With people escaping extreme stress and poverty by coming to the US, you get hard working people eager to build a life, not commit crimes. Why can't we just grant them citizenship?",very liberal,SL,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
eli5_121863,Why is it that illegal aliens are routinely arrested and deported but legal action is rarely if ever taken agains those that employ illegal aliens?,somewhat liberal,L,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
eli5_175339,Under what conditions should an undocumented immigrant be given access to social programs?,somewhat liberal,L,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
eli5_35780,Are illegal/undocumented immigrants as a whole a net benefit or burden to the US?,neutral,N,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
phcblz,Should illegal immigrants be ever allowed to get citizenship? Why or why not?,neutral,N,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
eli5_13186,Why are illegal immigrants bad for America?,somewhat conservative,C,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
eli5_13309,Why do people think illegal immigrants should be allowed to stay in the USA when it is difficult for Americans to move to other countries?,somewhat conservative,C,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
pev2w5,"My next-door neighbor slammed his door at my face when he was speaking Spanish instead of English, can ICE arrest him?",very conservative,SC,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
eli5_11317,How can an undocumented immigrant speak at the DNC and not be arrested?,very conservative,SC,Do you support or oppose enforcing mass deportations of immigrants living in the country illegally?
custom_541150,How can we expect the same person who's trained to pull a gun on a violent perpetrator to also know how to handle a schizophrenic having a temporary psychotic episode?,very liberal,SL,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_da609e,"Police as an institution is a gauge on how much a society fails. Basically nobody commits crimes ""just because"" and they are often motivated by several things that we could address, but currently aren't. Why not cut funding from police and shift it to social services?",very liberal,SL,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_49e14a,Defunding the police is about making life EASIER on police. Why can't we use some of the money we throw at police departments to solve all of society's problems and instead use that money to address things that shouldn't be expected of the police?,somewhat liberal,L,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_63e8b7,What do we want the police force to do? What services and funds should be transferred to other organizations?,somewhat liberal,L,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_fb27ce,What is your opinion on social workers replacing the police?,neutral,N,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
p2qg7j,Why do people want to defund the police and transfer the money to social services?,neutral,N,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_04642b,The police are there at the end when all the social programs and policies have already failed. They're there to clean up the mess. So why is the solution to defund them?,somewhat conservative,C,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_20862f,What makes you think that bad actors won't take advantage of the reallocation of resources from police departments to social services?,somewhat conservative,C,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_d154d5,"If we shift funding from police to social workers, would a social worker go on the potentially violent calls? Are social workers trained to handle violence? Are they able to stop violence without the tools that the police have?",very conservative,SC,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_e75096,"Most criminals are just bad people who don't have any remorse for their actions. If we shift funding from police to social services, what exactly is a social worker going to do about that?",very conservative,SC,Would you support or oppose cutting some funding from police departments in your community and shifting it to social services?
custom_6c2536,I don't see how capitalism is compatible with environmental stability without pricing environmental sustainability into the cost of goods. There doesn't seem to be any alternative to either pricing in environmental externalities using something like carbon taxes… or just watching the world die?,very liberal,SL,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_6c1c94,"If a neighbor poisoned your garden, killing all your plants, you'd be able to sue them for damages. If a company emits carbon in the air, the impact isn't as immediately obvious, but the concept is the same. Isn't the obvious solution to charge carbon producers for the economic damage caused by climate change?",very liberal,SL,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_cb210d,"There's an overwhelming scientific consensus that climate change will become an enormous problem. If there's no economic incentive for companies to reduce emissions right now because the harms won't be felt for many years, shouldn't we create that incentive by taxing them based on the amount of carbon they produce?",somewhat liberal,L,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_8b59d5,Companies have more incentive to pollute than they do to go green. Wouldn't a pollution tax be the best option to mitigate climate change?,somewhat liberal,L,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_e294a4,Is it possible to tax companies for the amount of greenhouse gasses they produce?,neutral,N,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_3e3f45,"If someone pledges not to cut a piece of forest, have they saved emissions, or would they never have bothered to cut that forest in the first place?",neutral,N,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_6dd0b4,"Why not lower taxes on solar, wind, nuclear, hydroelectric, or geothermal energy instead of taxing corporations based on the amount of carbon emissions they produce?",somewhat conservative,C,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_ac2535,How do you pay for carbon taxes without taxing another industry?,somewhat conservative,C,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_2c1d5d,"If carbon taxes are enacted, wouldn't companies just pass the cost on to consumers?",very conservative,SC,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_c84abf,Doesn't a carbon tax just give companies a license to pollute guilt-free as long as they can afford it?,very conservative,SC,Do you favor or oppose taxing corporations based on the amount of carbon emissions they produce?
custom_c6755d,"No child ""earns"" citizenship; they grow up immersed in a society, shaped by its schools, culture, and laws. A child born and raised in a country knows no other home-how is it justifiable to tell them they are not a citizen?",very liberal,SL,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_aa0588,"Denying citizenship to those who have spent their entire lives in a country creates a permanent underclass, fueling resentment and division. If you were forced to flee your homeland and your child was born elsewhere, would you accept the idea that they are forever an outsider, unwanted and unwelcome?",very liberal,SL,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_82e2e8,Do you believe that it's morally righteous to deny someone who is born and raised in America the full rights and privileges of citizenship purely due to their parents not being citizens (whether a legal migrant or an illegal migrant)?,somewhat liberal,L,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_62e15e,"If someone wants their kid to have US citizenship so badly, why would we even want to turn them away?",somewhat liberal,L,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
pwc72f,Do you think the United States should end birthright citizenship? Why or why not?,neutral,N,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_bcebd0,Do you support ending birthright citizenship for the future children of illegal immigrants?,neutral,N,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
eli5_120022,"If a country has birthright citizenship i.e. all those born there are automatically citizens, couldn't a woman go there on vacation/business/illegally, give birth, then the child would be a citizen giving the parent rights to stay/move there too?",somewhat conservative,C,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_2552d8,"If parents don't want to be US citizens, then why should their children be?",somewhat conservative,C,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_67f849,"If you come here from Guatemala swollen with pregnancy, break through the border illegally, and plop out a baby on our soil, is that baby an American because you happened to be standing here? is that something we want?",very conservative,SC,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
custom_e24517,If you are pregnant and illegally cross the border to give birth…why should US taxpayers pay welfare for their child and then for the illegal immigrants as well?,very conservative,SC,"Do you support ending birthright citizenship, which makes anyone born in the United States a citizen?"
ohn67e,"Why is there a lifestyle/culture of people for don't use anything that has harmed an animal, but not a lifestyle/culture of people who don't use anything that was made through the suffering of human beings, i.e. child labor?",very liberal,SL,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
custom_28f866,"Children have less experience negotiating and are easily manipulated by adults. We generally don't see children as capable of consent, so why should we allow them to enter contractual relationships with employers?",very liberal,SL,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
eli5_131318,"Why is it, that when a clothing company is found out to be using child labour in dangerous conditions everyone hates them, but Apple have been getting away with it for ages?",somewhat liberal,L,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
eli5_66059,"If child prodigies graduate college early, what kind of places hire them? How do they avoid child labor laws?",somewhat liberal,L,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
eli5_68273,Why is child labor considered such a bad thing?,neutral,N,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
ofsczk,Should a regulated form of child labor return? Why or why not?,neutral,N,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
eli5_28895,"Why do we have laws against child labor, but still allow child actors?",somewhat conservative,C,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
custom_77c330,The sooner you start making money and acquiring skills/experience/promotions the better long term your life will probably be. Wouldn't letting kids start working at a younger age help them tremendously in their twenties?,somewhat conservative,C,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
ojyvgb,"Are foreign sweatshop workers, child laborers, the people who build nearly everything in China actually slaves or do they value their jobs despite us thinking it's like slave labor?",very conservative,SC,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
custom_ffb551,"Child labor isn't necessarily a bad thing. Why is it unethical to deny a starving kid a job, and presumably let them starve?",very conservative,SC,Should the government relax child labor laws to allow teens to work in previously restricted jobs and work longer hours so long as they are part of an approved training program?
eli5_61191,"Why is it that despite bailing out the banks, the failure of the banks to pay back, essentially, the people of the United States, I still owe them student loans and why isn't anything being done about this?",very liberal,SL,Do you support or oppose the federal government canceling college debt for anyone with an outstanding federal student loan?
