respondent_id,Age,Sex,Ethnicity simplified,Political spectrum (us),Student status,Employment status
339a31918d135e2a3816aa0efa668492,41,Female,White,Moderate,No,DATA_EXPIRED
f36cc7ada604c1cf9eebc407b73f7310,65,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ffda9f10f6b501aee008f2636e156793,19,Male,White,Liberal,Yes,Part-Time
59212d35aef0dc4837c007ea8343bea8,27,Female,White,Moderate,No,Unemployed (and job seeking)
2ac7abdfaa1cb9743a74cef3ee3802c9,80,Male,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
a0efd0411732697d989bbada5a35a265,21,Male,Black,Liberal,No,Part-Time
6972e8bf06c707bfa7d1c1d4c046bf06,24,Female,Black,Conservative,No,Part-Time
fc498a80d08480e7e6737f74efc70d4c,58,Female,White,Liberal,No,Full-Time
f3388b955f6aec5f5974d3ac9f799d77,19,Male,Mixed,Moderate,Yes,Unemployed (and job seeking)
11d92ff2d6cfe1442962036a394a7ce3,52,Male,White,Liberal,No,Part-Time
c55102e040a62e2ba24ee2add0aae09f,64,Female,White,Liberal,No,Full-Time
a2e11c0f52c6eee1ca1cad1755b9d76b,60,Female,Black,Liberal,No,Full-Time
ae9244e4defb1487024e88adb3354e93,35,Female,Mixed,Liberal,No,Full-Time
6008b8eb387e7990e52f0cce10ac8984,41,Male,Asian,Moderate,No,Full-Time
f4c4bb1ff39a77721496fe9e52959e10,49,Female,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
7bb0f0d4e7c8b4a7b48c1c54ba3ac19a,56,Male,White,Moderate,No,Full-Time
6a36063bd0083fdb5d7de558587dba8e,40,Male,Mixed,Conservative,No,Full-Time
99c4e8e91af308eb4be4c37e54304284,49,Female,Asian,Liberal,No,Unemployed (and job seeking)
d38af5dba7b3a1d93f9e80112c9a6e98,51,Female,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
56dba5d0488ea5b6cdeb566cde10dbbc,42,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
f25ec49858fd622e5ecdb5a37719440f,45,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
4a622aeaf7330458c31a76d4b75a10b4,23,Male,Black,Liberal,Yes,Part-Time
ea2372faced49b560b54ee846dc53141,24,Female,White,Moderate,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
bb450e7a72db51ff2baf58d5940d6fff,29,Male,White,Moderate,No,Full-Time
d02592dfc9ef46b3f73063763307f7bf,29,Male,Asian,Liberal,Yes,Other
35ff6b742fd8c321d10a4ee849a25485,39,Female,Black,Conservative,No,Full-Time
ecba3db69701a7490c03026bee7318bf,33,Male,Black,Liberal,No,Part-Time
e39bbb28d8e7dcfb14bdbebf8d54f633,49,Male,White,Liberal,No,Full-Time
349b608fe4a79931f4eed999ef645de1,36,Male,White,Conservative,No,Full-Time
f8f6eb2cdd8ead7d77d00517a5d8abb4,29,Female,Black,Liberal,No,Part-Time
97d25f791bb24281124ec1f75fa6cc88,48,Female,White,Moderate,No,Part-Time
fbda59137b8443c32e2b167af8d30625,62,Female,White,Conservative,No,Full-Time
edc56a48b0d199d328f0c1ea7b9466eb,40,Female,Black,Liberal,No,Part-Time
671b22df4b9ba9b9429dd8af95f7d084,20,Female,White,Conservative,No,Unemployed (and job seeking)
5291a0c63b5d32d653356484d4e9d67e,27,Male,White,Liberal,DATA_EXPIRED,DATA_EXPIRED
84062ded3734db676d3462187237723b,46,Female,White,Conservative,No,Full-Time
660df7b53cbc4323567617e8eab946ea,42,Male,Mixed,Moderate,No,Part-Time
6176dea12bdc44e319dcb0dc3be4efdd,41,Female,White,Conservative,No,Full-Time
fc19b67339f519ca4ec3ac5b25bfb023,37,Female,Black,Conservative,DATA_EXPIRED,DATA_EXPIRED
e68b29a116413a467d2b9b0a7d9bcca9,36,Male,White,Conservative,No,Full-Time
63b56d7d31768ff0e4cba549f4795d99,32,Male,White,Liberal,No,Part-Time
6f29f59b63a1f52343e4eaf238979364,70,Female,White,Conservative,No,Part-Time
a81849c56ffff5a378f07c21e797efa2,29,Female,White,Conservative,Yes,Full-Time
26ca7695b7903a8a94a418168f117a03,20,Female,Black,Liberal,No,Full-Time
425554e3fc1f0f21987e322627af9edf,38,Male,White,Liberal,No,Full-Time
0d8c9b438399e81817f4a41ab838f99d,26,Female,Black,Liberal,No,Full-Time
9aa8e5cd519e7c9f902acff8c4317dd9,24,Female,White,Conservative,No,Full-Time
ed9c145093480285f0f73274ff5af507,36,Female,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
445fcde3e950b018fe27957d6301611f,44,Male,White,Conservative,No,Full-Time
1f405a567703bd6b367e7969dfdfc4db,38,Male,Asian,Liberal,No,Full-Time
f78594b317afa45703c6936b307d497c,56,Female,Black,Conservative,No,Part-Time
994199079808ea8a28833bf6f74f7b48,66,Male,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ad5eb22d4c3d1368e5b0c241ef4072a1,67,Male,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
14d1ed1da30ec77c8762c0ec7cc08a2f,22,Female,White,Liberal,Yes,Other
4464ffcd9124cd3e02eade61f97c2781,73,Male,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
1a1c9512432e356ca891f6e0fe6d1fde,35,Male,White,Conservative,No,Full-Time
c5ad7065945736a9f1c1f4737a13f058,56,Male,White,Moderate,No,Full-Time
f129de8a9d2acfb91062e776bde188cf,47,Male,White,Liberal,Yes,Full-Time
aac7b278759d48f324e98f0fa642e061,36,Female,Black,Moderate,No,Full-Time
9a395ceac9e8a74ea035c4056da14948,34,Female,White,Liberal,No,Full-Time
5680f6e5cf877679698ad7473bc55dd4,44,Male,White,Liberal,No,Part-Time
8a495f1e0d6cc3c456f928a0eb09adf8,45,Male,Black,Conservative,No,Part-Time
3219e2f3e901e882075c42bc40174c10,24,Female,Other,Liberal,No,Unemployed (and job seeking)
ff17d3701069b4d6879c694d07a0aff4,55,Female,Asian,Moderate,No,DATA_EXPIRED
83703e052ce809d39524cb3898a43994,40,Male,White,Liberal,Yes,Part-Time
325a7b4098724f139861b03f689cf2fc,41,Male,White,Conservative,No,Full-Time
f7f666155823e275087dd26b9e6968df,40,Female,White,Conservative,No,Full-Time
f47074d7b5f129a47aabe050c8269d0c,35,Female,Black,Conservative,No,Unemployed (and job seeking)
c327361de2cc8eeadc5613514358587e,33,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
e1c32266a7620e6703b1ed1a39b33f87,48,Female,White,Moderate,No,Full-Time
510c2a925dca8a064d7bd866b2de8199,49,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
962597ab79ae21821c83bdeeecaeeef0,58,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ad89698f05699da0b619ab8dfe3ec23a,66,Female,White,Liberal,No,Part-Time
969e2b6dbbbfb8bebca6187e6c23d3d0,68,Female,White,Liberal,No,Other
b73614d533b72610b2f56214231afd3e,29,Female,Asian,Liberal,DATA_EXPIRED,Full-Time
d485bb0a4efbb6a7d469b4704dd5c1cf,50,Male,White,Conservative,No,Full-Time
6b533f4e2caa78a52716860ae9c35415,18,Male,Other,Liberal,Yes,Unemployed (and job seeking)
7744d522a6decbc50f9dadc199e17987,53,Female,White,Moderate,No,Due to start a new job within the next month
4e66c89a69e415db21b542eb9036c9e2,31,Male,White,Conservative,No,Full-Time
bb1a35c4c96e666ba7c0f9d36a95b0c8,40,Female,White,Conservative,No,Full-Time
9c6ad3f947ed8ab4e8c98c3d31776ef8,53,Male,White,Liberal,No,Full-Time
a6b1688b7a12767c6528bddc68f3bdef,38,Male,White,Moderate,No,Full-Time
ff365520aa203f1c8108ff5299318585,43,Female,White,Conservative,No,Unemployed (and job seeking)
bfaa89129e1ba2a67a341537850d21de,42,Female,Other,Liberal,Yes,Part-Time
f8c7f86fc2b54522d170cb38a698f704,61,Female,White,Moderate,No,Part-Time
baecb20cd13f88dedd17da7c7388ec53,47,Female,Mixed,Liberal,Yes,Full-Time
c4f154df35e247942164cf26106c4557,53,Female,White,Liberal,No,Part-Time
75c747501330cc6e1052326dbedc49a8,34,Female,White,Liberal,No,Full-Time
9ee8d6a881336ec48bbad6bf71c40c5f,66,Male,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3b236a703bee144d92c8b2f9266b1cc8,80,Male,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
b9bc18218d2d9715510ef0dacbedb097,33,Male,White,Liberal,Yes,Part-Time
4cb6af6714dc0313dc175f8ddbe22064,41,Male,White,Liberal,No,Full-Time
f32b813529e3d08b90494daf53f5f99c,61,Male,White,Moderate,No,Full-Time
1637010a14afa21131e091158904f30c,44,Male,Black,Liberal,No,Unemployed (and job seeking)
985bf1a344cff7ebfe5f909659d42981,53,Female,White,Liberal,No,Other
8af6cd580720830707adde2157edc3e2,28,Female,White,Moderate,No,Full-Time
bf755a29565157d88595507e7468d505,29,Female,White,Liberal,No,Full-Time
512737131019c1c2fc0d98f3be2322cc,29,Female,Black,Conservative,No,Part-Time
66ec3fb639931252ca6da8f2ba66ad96,44,Male,White,Liberal,No,Full-Time
4c2eb42aa38858d4e7fa31fde2204fe7,73,Female,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
c83341a47c3e4363b8a6cdf38271622e,77,Male,White,Conservative,No,Full-Time
4077221f9f4715df714a138362fec3c0,38,Female,White,Moderate,No,Full-Time
187d04fb7cfdaa6027f92e47cea4fba9,37,Female,White,Conservative,No,Part-Time
f858a3addb347e848809a0c6a20fd7b1,39,Female,White,Liberal,No,Full-Time
49eb85fc822ae04598e73ad1e0e35054,52,Male,White,Liberal,No,Full-Time
67d419d3e6c66a7917ff8727774cc91f,26,Male,Asian,Liberal,No,Full-Time
15be6b10e4a4668c6473127cbfa1e5f5,50,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
f3582c57b5efad591df4054c44ae8b7f,25,Female,Asian,Liberal,No,Unemployed (and job seeking)
0aa8498119b092c2d725f6ec24a3651a,30,Female,White,Liberal,No,Other
f4ec46bd257cf06842664d7bb71cbd22,36,Male,White,Liberal,No,Full-Time
f9cdcdbc1f4dadd4e651da947af0635a,49,Female,Black,Liberal,No,Full-Time
3a121c68a5af54b60b315d47e40f777f,27,Male,White,Liberal,No,Unemployed (and job seeking)
670c4c7d636ae2ecb2a6c31d3586d78e,69,Female,White,Liberal,No,Full-Time
7efa31cc09c60afe9cca2b62307d8f82,39,Male,White,Conservative,No,Full-Time
2f8afccf03813c5911bd8e804d4ca6b6,36,Male,White,Liberal,No,Full-Time
2d80df5b8e3339630e1f7fdc9f7919f8,23,Female,White,Liberal,Yes,Unemployed (and job seeking)
c288f10d641dada711e6944eba4b1022,30,Female,White,Conservative,No,Part-Time
8aa8ecf8bc2ac72a7ef7398d60bf7475,42,Male,Asian,Conservative,No,Full-Time
da3626ced18ef9c5c04adebbc9e9db8c,35,Female,White,Conservative,Yes,Full-Time
10a7c9e8a06a9c8d15a0d619998b4162,34,Male,White,Conservative,Yes,Part-Time
fb7bf8e9f761172306420b061c6ef1ed,32,Male,Black,Conservative,Yes,Unemployed (and job seeking)
c41189dd2df0ac512cbaeadd7f27a82d,35,Female,Black,Liberal,Yes,Full-Time
237d7661b5962a8f4113481f1037a67f,34,Male,White,Conservative,No,Full-Time
56a75c375a1b3b59080a7b2e486849c6,59,Female,White,Liberal,No,Part-Time
b35da9b8a063eb3635d46b5ac3b57ab9,45,Female,White,Liberal,Yes,Full-Time
59f9ef3a682dc5eb5e9db0a14a07eb40,39,Male,Black,Moderate,No,Unemployed (and job seeking)
f02269e8c0292283bf3ea3cb75fc6389,47,Female,White,Liberal,No,DATA_EXPIRED
acd487e31b9673204d4329c6bca36ee5,57,Female,White,Liberal,No,Unemployed (and job seeking)
1ef899203178f27a855aa43c8cd3f6d3,32,Female,White,Conservative,No,Other
3540cd55ca11db36f955ea93980e5bc6,31,Female,Asian,Liberal,No,Full-Time
03f9a1291ba2aebba65d4eaac2d8a3b3,44,Female,White,Liberal,No,Full-Time
b7d3048fdc20ba4074fd58e7a15993ba,38,Male,White,Conservative,No,Full-Time
c6394a90b424b2bcacfb645b2c5c67e1,68,Male,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ddd58d7c61d0e9f15fabf9a6d14b0cd6,68,Male,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
8916b26370495b51e74a38345536c4d0,25,Male,White,Conservative,No,Unemployed (and job seeking)
6217d8000aa5a1b29219459f21ce8d9b,67,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
e2d0d23add691cd545e43fdd742b33df,41,Female,Black,Conservative,No,Part-Time
476f5feba406ca88ef32d9f4690411fb,48,Male,White,Moderate,DATA_EXPIRED,DATA_EXPIRED
77ba195fda9ada2cd4a13f4fd38bb752,30,Female,White,Liberal,No,Full-Time
c8b5453b6a219daf0792182ceda8e5bc,32,Female,White,Conservative,No,Unemployed (and job seeking)
345e4a0d96f67e16cc04c7683d2070b3,50,Female,White,Liberal,No,Full-Time
3ba89704d3b8eaf24502085451d90e5c,51,Male,White,Conservative,Yes,Part-Time
b3e523f7861f841c979e24bdeecaaadc,36,Female,White,Moderate,No,Full-Time
bcaa098e47ee4ea75c517731915a89b7,25,Male,White,Liberal,Yes,Part-Time
6c1bb50ed723dcdb79d56a0e5e4a4062,35,Male,Black,Liberal,Yes,Full-Time
1cd42fa2fbc8ab784850138bdd0da746,35,Male,White,Conservative,No,Full-Time
4e0cb1baef5b11b1526682a1f759ea8a,57,Female,White,Liberal,No,Other
86d6dd1da83d74a3e5238755658ae60c,30,Female,White,Conservative,No,Full-Time
650c538c215e866d772d2693b846ccf0,54,Male,White,Liberal,No,Full-Time
7fa97138a409a3b35e28164eff40bd6f,34,Female,White,Conservative,No,DATA_EXPIRED
11a7cd6114055541636c4cff297906ea,51,Female,Black,Liberal,No,Full-Time
30487ce3d21e14019cb5b71b9c4c0868,37,Female,White,Moderate,No,Part-Time
234197f1bd965be4ffc136a6a7df4173,39,Male,White,Moderate,No,Unemployed (and job seeking)
e4bd019833f423494cf250e6430ff386,48,Female,White,Conservative,No,Part-Time
94aab41202706357a7e5e36691222d0e,53,Male,White,Conservative,No,Full-Time
e02656dff54c3cc1245547ac1276285d,44,Male,White,Liberal,No,Full-Time
c4a5e89ca5d8e66de3754a8f7a145316,35,Female,Asian,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
e3ba73296292bd7d2872a854a8585f58,46,Female,Black,Liberal,No,Full-Time
f7ac54fea7a029677d41bb8ecb23d56f,47,Male,White,Liberal,No,Full-Time
ebd9df16f0308a46cbfc3f4bc451a3fe,32,Female,Black,Liberal,No,Full-Time
388bdf789c329b280ac52825d131b639,30,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
a4532ee53821f70e850a8ec4b3110b38,36,Male,Other,Liberal,No,Full-Time
79d4d7bf8e5652c6ebc5961a9bd8915f,31,Male,Other,Conservative,No,Full-Time
819ebce9102e4bde49983b28b6b73762,27,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
61ae3b96d631c5935989a37c8cda9fbc,49,Female,White,Conservative,No,Full-Time
4d287ea5d1733205e8cf58119a656293,50,Male,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
0c285078fd93e8342050068f9a523572,49,Male,White,Liberal,No,Full-Time
3c508e332bdcbc53792008f42eb96d0a,37,Male,White,Liberal,No,Unemployed (and job seeking)
3427090023e664f4269c35576d7e6011,38,Female,Black,Liberal,No,Full-Time
94cb29a806c9671be7c842a1843137c0,57,Female,White,Liberal,No,Full-Time
56e82c8c3f0c0843bb221ac2a5a37374,29,Female,White,Liberal,No,Full-Time
a208c460340c4166772f4d67ca7bbb61,55,Male,White,Conservative,No,Other
67328fbfc90ff02afc87b2bc04059751,18,Male,Mixed,Conservative,No,Full-Time
c080f7e57b4cb5aa1081ba71b4c6195b,46,Male,White,Liberal,No,Full-Time
b3b025afc7a553350e9e0cc9b9acc499,63,Female,White,Conservative,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
697c0a27a47a917f16c7a93731a987c9,37,Female,White,Moderate,No,Full-Time
a6451fff4b2f65b2d15485b147eb715f,38,Female,White,Liberal,Yes,Full-Time
a717093a35450174c0137678f295fc0f,44,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
cd12462d649bdb5d4ab8495676fbce1d,51,Female,White,Moderate,No,Full-Time
d2e263c3baeec6b637f058abb09d62ec,29,Female,White,Liberal,No,Full-Time
d42fd0c9dd6952c56f890efdea4a46ab,28,Male,White,Liberal,No,Full-Time
19053260a2b4fe2dd9e4f5472d75f91a,42,Male,White,Conservative,No,Full-Time
91a4655248d04070367323f938e6de41,46,Male,Black,Liberal,No,Full-Time
3769ba90440c64b0312bf8074d97aa0f,31,Male,Asian,Liberal,No,Full-Time
a548996328385ffcec9a64a06a54bcc5,61,Female,White,Conservative,No,Full-Time
7d7f5f9b9b204cd6728a37df035e21fa,24,Male,White,Liberal,Yes,Full-Time
97f72ff3f12e804ee8b0a5035ff816da,43,Female,White,Moderate,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
bad4c5c1c1081d00bfcffddd991b2043,23,Female,White,Moderate,Yes,Other
697552e953c1bebad209efb491f65c14,33,Male,Black,Moderate,No,Full-Time
258396684c228d33e9395b12b9527498,29,Female,Other,Conservative,Yes,Full-Time
8bd203079096c7e8a34445bc0ed263ac,32,Male,White,Liberal,No,Full-Time
78a9d01e685b7713dc129b06131714cf,63,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
b2eb0557cc87861bcae9b70bfbbbb16f,37,Female,White,Moderate,No,Full-Time
000d919f4152fe44a06239b434dd5f63,36,Male,White,Liberal,No,Full-Time
bc87ad0b9033d38750c6809666a5f903,30,Male,White,Liberal,No,Full-Time
4b7fb189665b550c195b9170c64c9e39,55,Female,White,Moderate,Yes,Full-Time
aa6727d996dc1023d2f66715f468da37,33,Male,White,Liberal,Yes,Full-Time
31ead0e869486d2bbb2983c5a5ef232b,32,Female,White,Liberal,No,Full-Time
615f18e199b97215bd773f58095deed0,48,Male,Black,Liberal,No,Unemployed (and job seeking)
88506e2fd2ea85abb088c3e02d47e828,34,Male,White,Liberal,No,Full-Time
c89655b5ba8734f154da999dcdc8db71,23,Male,Asian,Liberal,No,Full-Time
254857ca2891b7cf8cc5f785583b5053,31,Male,White,Conservative,No,Full-Time
c8e829f4f61c4f8bb0c46d25da10abfc,27,Male,White,Conservative,Yes,Full-Time
404fc769bb1ea9d2d0c46d7841c12d2d,39,Male,White,Conservative,Yes,Part-Time
add9225a6e1d498011df0765f8671ec1,24,Female,White,Moderate,No,Full-Time
a7a263c32607f04f6c6fe892ae562acf,70,Female,White,Moderate,No,Part-Time
ecaa974031973105b1d149f94d204f58,19,Male,White,Liberal,Yes,Full-Time
97b7bd36f6680d6b8eb8afebb1529287,58,Male,White,Conservative,No,Full-Time
472e10d127992cd29ab479417b007404,40,Female,Black,Moderate,No,Full-Time
dab1f335c9dbe8e2b32bec63f0e0ba8e,64,Female,White,Liberal,No,Part-Time
4b22446b16ef93e97623d097e71e6df8,29,Female,White,Liberal,Yes,Full-Time
1e824defa9826d35f6dd58fbcd826333,54,Female,White,Moderate,No,Unemployed (and job seeking)
734975b54d052bdff2897c2ad6eba88f,28,Female,White,Liberal,No,Full-Time
7516bd9b9ba982596eee70a63aa22754,67,Female,White,Liberal,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
8b694b07b8126fd8ae17f7bad8167689,31,Female,Other,Liberal,No,Unemployed (and job seeking)
4b496bc994d23783e6602f89cfc486f4,73,Female,White,Moderate,No,Part-Time
